# SYNTHETIC FIXTURE DATA - invented for pipeline testing. Not real filings, people, securities or prices.
filer_name,chamber,owner_code,trade_date,disclosure_date,ticker,asset_name,asset_type_hint,transaction_type,amount_range_text,sector,source,source_url
Synthetic Member Alpha,senate,SELF,2020-09-17,2020-11-03,ZZAA,[SYNTHETIC] ZZAA Common Stock,Stock,Purchase,"$15,001 - $50,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,JT,2020-09-24,2020-11-13,ZZBB,[SYNTHETIC] ZZBB Call Options,Options,Sale (Full),"$100,001 - $250,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2020-10-05,2020-12-04,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Sale (Full),"$1,001 - $15,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2020-11-05,2020-11-19,ZZEE,[SYNTHETIC] ZZEE Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",health_care,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2020-11-12,2020-12-22,ZZBB,[SYNTHETIC] ZZBB Common Stock,Stock,Purchase,"$1,001 - $15,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,JT,2021-03-05,2021-04-15,ZZCC,[SYNTHETIC] ZZCC Common Stock,Stock,Purchase,"$250,001 - $500,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2021-04-30,2021-06-29,ZZHH,[SYNTHETIC] ZZHH Put Options,Options,Purchase,"$15,001 - $50,000",utilities,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2021-06-08,2021-08-05,ZZFF,[SYNTHETIC] ZZFF Common Stock,Stock,Purchase,"$1,001 - $15,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2021-07-30,2021-09-20,ZZEE,[SYNTHETIC] ZZEE Common Stock,Stock,Purchase,"$1,001 - $15,000",health_care,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2021-08-20,2021-09-03,ZZFF,[SYNTHETIC] ZZFF Common Stock,Stock,Purchase,"$50,001 - $100,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2021-09-14,2021-10-01,ZZEE,[SYNTHETIC] ZZEE Call Options,Options,Purchase,"$1,001 - $15,000",health_care,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2022-02-10,2022-03-28,ZZJJ,[SYNTHETIC] ZZJJ Common Stock,Stock,Sale (Partial),"$100,001 - $250,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2022-02-22,2022-03-21,ZZFF,[SYNTHETIC] ZZFF Exchange Traded Fund,ETF,Sale (Full),"$50,001 - $100,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,JT,2022-04-11,2022-05-13,ZZCC,[SYNTHETIC] ZZCC Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2022-05-03,2022-05-13,ZZAA,[SYNTHETIC] ZZAA Put Options,Options,Sale (Full),"$1,001 - $15,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2022-05-04,2022-06-24,ZZBB,[SYNTHETIC] ZZBB Common Stock,Stock,Sale (Full),"$50,001 - $100,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2022-06-10,2022-06-28,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Sale (Full),"$1,001 - $15,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2022-06-16,2022-07-12,ZZFF,[SYNTHETIC] ZZFF Put Options,Options,Purchase,"$15,001 - $50,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2022-06-22,2022-07-18,ZZAA,[SYNTHETIC] ZZAA Common Stock,Stock,Purchase,"$1,001 - $15,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2022-06-27,2022-08-22,ZZDD,[SYNTHETIC] ZZDD Call Options,Options,Purchase,"$15,001 - $50,000",financials,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2022-07-29,2022-09-06,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Purchase,"$100,001 - $250,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2022-09-14,2022-10-05,ZZJJ,[SYNTHETIC] ZZJJ Call Options,Options,Purchase,"$1,001 - $15,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2022-10-07,2023-04-19,ZZJJ,[SYNTHETIC] ZZJJ Common Stock,Stock,Purchase,"$1,001 - $15,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2022-10-25,2022-11-18,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Sale (Full),"$50,001 - $100,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2022-12-15,2023-01-20,ZZCC,[SYNTHETIC] ZZCC Call Options,Options,Sale (Full),"$50,001 - $100,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,JT,2023-02-10,2023-09-28,ZZCC,[SYNTHETIC] ZZCC Common Stock,Stock,Purchase,"$1,001 - $15,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2023-02-23,2023-04-24,ZZJJ,[SYNTHETIC] ZZJJ Common Stock,Stock,Sale (Full),"$1,001 - $15,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2023-06-13,2023-10-25,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Purchase,"$15,001 - $50,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2023-06-23,2023-08-14,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Purchase,"$15,001 - $50,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2023-09-13,2024-12-02,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Purchase,"$15,001 - $50,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2023-10-04,2023-11-23,ZZJJ,[SYNTHETIC] ZZJJ Common Stock,Stock,Purchase,"$1,001 - $15,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2023-11-29,2023-12-13,ZZEE,[SYNTHETIC] ZZEE Call Options,Options,Sale (Partial),"$15,001 - $50,000",health_care,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2024-01-25,2024-02-09,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Sale (Full),"$1,001 - $15,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2024-02-09,2024-03-06,ZZII,[SYNTHETIC] ZZII Put Options,Options,Purchase,"$100,001 - $250,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2024-02-16,2024-04-05,ZZEE,[SYNTHETIC] ZZEE Put Options,Options,Purchase,"$1,001 - $15,000",health_care,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2024-02-23,2024-04-03,ZZII,[SYNTHETIC] ZZII Exchange Traded Fund,ETF,Purchase,"$1,001 - $15,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2024-02-26,2024-08-21,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Purchase,"$1,001 - $15,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2024-02-29,2024-03-12,ZZAA,[SYNTHETIC] ZZAA Common Stock,Stock,Sale (Full),"$1,001 - $15,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2024-03-26,2024-07-05,ZZII,[SYNTHETIC] ZZII Call Options,Options,Purchase,"$50,001 - $100,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2024-04-17,2024-05-31,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Sale (Full),"$50,001 - $100,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2024-04-26,2024-05-08,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Sale (Full),"$15,001 - $50,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2024-05-21,2024-10-01,ZZAA,[SYNTHETIC] ZZAA Common Stock,Stock,Purchase,"$100,001 - $250,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2024-05-22,2024-07-04,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Purchase,"$15,001 - $50,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,JT,2024-05-29,2024-06-17,ZZBB,[SYNTHETIC] ZZBB Call Options,Options,Purchase,"$250,001 - $500,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2024-07-01,2024-08-08,ZZCC,[SYNTHETIC] ZZCC Put Options,Options,Sale (Full),"$15,001 - $50,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2024-07-09,2024-08-06,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Sale (Full),"$500,001 - $1,000,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2024-07-17,2024-11-26,ZZJJ,[SYNTHETIC] ZZJJ Common Stock,Stock,Sale (Full),"$250,001 - $500,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2024-08-02,2024-08-21,ZZJJ,[SYNTHETIC] ZZJJ Common Stock,Stock,Purchase,"$15,001 - $50,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2024-08-15,2024-08-21,ZZCC,[SYNTHETIC] ZZCC Call Options,Options,Purchase,"$50,001 - $100,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2024-08-19,2024-09-06,ZZEE,[SYNTHETIC] ZZEE Common Stock - short sale,Stock,Sale,"$100,001 - $250,000",health_care,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2024-11-15,2024-12-20,ZZII,[SYNTHETIC] ZZII Common Stock - short sale,Stock,Sale,"$50,001 - $100,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2019-05-06,2019-05-17,ZZFF,[SYNTHETIC] ZZFF Common Stock,Stock,Purchase,"$50,001 - $100,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SP,2019-05-08,2019-06-20,ZZCC,[SYNTHETIC] ZZCC Common Stock,Stock,Purchase,"over $50,000,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2019-05-22,2019-05-28,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Purchase,"$15,001 - $50,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2019-08-01,2019-09-16,ZZBB,[SYNTHETIC] ZZBB Common Stock,Stock,Purchase,"$1,001 - $15,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2019-08-07,2019-08-15,ZZFF,[SYNTHETIC] ZZFF Exchange Traded Fund,ETF,Sale (Full),"$15,001 - $50,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2019-08-12,2019-09-12,ZZHH,[SYNTHETIC] ZZHH Exchange Traded Fund,ETF,Purchase,"$15,001 - $50,000",utilities,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2019-09-11,2019-12-17,ZZBB,[SYNTHETIC] ZZBB Common Stock,Stock,Purchase,"$1,001 - $15,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2019-09-20,2020-07-14,ZZDD,[SYNTHETIC] ZZDD Exchange Traded Fund,ETF,Purchase,"$1,001 - $15,000",financials,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2019-10-02,2019-11-25,ZZHH,[SYNTHETIC] ZZHH Common Stock,Stock,Sale (Partial),"$100,001 - $250,000",utilities,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2019-11-08,2019-11-14,ZZFF,[SYNTHETIC] ZZFF Exchange Traded Fund,ETF,Purchase,"$1,001 - $15,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SP,2019-11-28,2019-12-13,ZZCC,[SYNTHETIC] ZZCC Common Stock,Stock,Purchase,"$1,001 - $15,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,JT,2020-02-07,2020-03-11,ZZCC,[SYNTHETIC] ZZCC Call Options,Options,Purchase,"$15,001 - $50,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2020-02-10,2020-03-27,ZZAA,[SYNTHETIC] ZZAA Common Stock,Stock,Purchase,"$50,001 - $100,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SP,2020-02-14,2020-03-23,ZZJJ,[SYNTHETIC] ZZJJ Common Stock,Stock,Purchase,"$100,001 - $250,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2020-02-26,2020-04-23,ZZBB,[SYNTHETIC] ZZBB Exchange Traded Fund,ETF,Purchase,"$250,001 - $500,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2020-03-03,2020-03-25,ZZHH,[SYNTHETIC] ZZHH Exchange Traded Fund,ETF,Purchase,"$1,001 - $15,000",utilities,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2020-05-07,2020-06-24,ZZHH,[SYNTHETIC] ZZHH Call Options,Options,Purchase,"$1,001 - $15,000",utilities,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SP,2020-08-11,2020-09-11,ZZAA,[SYNTHETIC] ZZAA Put Options,Options,Purchase,"$1,001 - $15,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2020-09-17,2020-10-16,ZZBB,[SYNTHETIC] ZZBB Common Stock,Stock,Sale (Partial),"$500,001 - $1,000,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2020-09-21,2020-11-04,ZZAA,[SYNTHETIC] ZZAA Common Stock - short sale,Stock,Sale,"$15,001 - $50,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2020-10-28,2021-02-08,ZZFF,[SYNTHETIC] ZZFF Common Stock,Stock,Purchase,"$15,001 - $50,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2021-03-19,2021-04-07,ZZBB,[SYNTHETIC] ZZBB Common Stock,Stock,Sale (Partial),"$500,001 - $1,000,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2021-04-14,2021-04-30,ZZAA,[SYNTHETIC] ZZAA Common Stock,Stock,Sale (Full),"$15,001 - $50,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SP,2021-05-11,2021-06-08,ZZDD,[SYNTHETIC] ZZDD Common Stock - short sale,Stock,Sale,"$1,001 - $15,000",financials,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2021-06-11,2021-07-27,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2021-10-26,2021-11-10,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Purchase,"$1,000,001 - $5,000,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SP,2022-01-17,2022-02-25,ZZEE,[SYNTHETIC] ZZEE Put Options,Options,Purchase,"$1,001 - $15,000",health_care,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2022-02-03,2022-02-22,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Purchase,"$15,001 - $50,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2022-02-04,2022-03-03,ZZAA,[SYNTHETIC] ZZAA Common Stock,Stock,Purchase,"$1,001 - $15,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2022-02-09,2022-03-08,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2022-05-16,2022-06-20,ZZFF,[SYNTHETIC] ZZFF Common Stock,Stock,Sale (Partial),"$15,001 - $50,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,JT,2022-06-28,2022-07-19,ZZII,[SYNTHETIC] ZZII Call Options,Options,Purchase,"$100,001 - $250,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2022-07-29,2022-09-22,ZZBB,[SYNTHETIC] ZZBB Common Stock,Stock,Sale (Full),"$1,001 - $15,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2022-08-04,2022-08-15,ZZGG,[SYNTHETIC] ZZGG Call Options,Options,Purchase,"$15,001 - $50,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2022-08-11,2022-09-28,ZZJJ,[SYNTHETIC] ZZJJ Call Options,Options,Purchase,"$15,001 - $50,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,JT,2022-09-07,2022-10-26,ZZCC,[SYNTHETIC] ZZCC Common Stock - short sale,Stock,Sale,"$50,001 - $100,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2022-11-15,2023-01-13,ZZDD,[SYNTHETIC] ZZDD Common Stock,Stock,Purchase,"$500,001 - $1,000,000",financials,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2022-11-18,2022-12-22,ZZAA,[SYNTHETIC] ZZAA Common Stock,Stock,Sale (Full),"$50,001 - $100,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2022-12-29,2023-02-07,ZZFF,[SYNTHETIC] ZZFF Common Stock,Stock,Purchase,"$1,001 - $15,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,JT,2023-01-18,2023-03-21,ZZII,[SYNTHETIC] ZZII Common Stock - short sale,Stock,Sale,"$1,001 - $15,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2023-02-01,2023-02-10,ZZEE,[SYNTHETIC] ZZEE Common Stock,Stock,Purchase,"$50,001 - $100,000",health_care,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2023-02-28,2023-03-22,ZZFF,[SYNTHETIC] ZZFF Common Stock - short sale,Stock,Sale,"$250,001 - $500,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2023-03-24,2024-02-02,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Purchase,"$100,001 - $250,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2023-04-18,2023-06-01,ZZHH,[SYNTHETIC] ZZHH Common Stock - short sale,Stock,Sale,"$100,001 - $250,000",utilities,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2023-05-10,2023-07-07,ZZDD,[SYNTHETIC] ZZDD Common Stock,Stock,Sale (Full),"$1,000,001 - $5,000,000",financials,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2023-05-15,2024-01-02,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Purchase,"$50,001 - $100,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SP,2023-06-27,2023-06-30,ZZBB,[SYNTHETIC] ZZBB Call Options,Options,Purchase,"$1,001 - $15,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SP,2023-07-28,2023-08-07,ZZCC,[SYNTHETIC] ZZCC Common Stock,Stock,Purchase,"$1,001 - $15,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2023-12-25,2023-12-28,ZZHH,[SYNTHETIC] ZZHH Common Stock,Stock,Purchase,"$250,001 - $500,000",utilities,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2024-03-05,2024-03-14,ZZBB,[SYNTHETIC] ZZBB Common Stock,Stock,Purchase,"$1,001 - $15,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SP,2024-03-19,2024-04-18,ZZJJ,[SYNTHETIC] ZZJJ Common Stock,Stock,Purchase,"$500,001 - $1,000,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2024-03-29,2024-05-10,ZZHH,[SYNTHETIC] ZZHH Common Stock,Stock,Sale (Full),"$50,001 - $100,000",utilities,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2024-08-01,2024-08-19,ZZAA,[SYNTHETIC] ZZAA Common Stock,Stock,Purchase,"$1,001 - $15,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2024-09-26,2024-11-15,ZZDD,[SYNTHETIC] ZZDD Common Stock,Stock,Purchase,"$50,001 - $100,000",financials,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2024-10-02,2024-11-13,ZZHH,[SYNTHETIC] ZZHH Exchange Traded Fund,ETF,Purchase,"$15,001 - $50,000",utilities,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,DC,2024-10-02,2024-12-31,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Purchase,"$50,001 - $100,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Bravo,house,SELF,2024-10-28,2024-12-24,ZZGG,[SYNTHETIC] ZZGG Call Options,Options,Sale (Full),"$50,001 - $100,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Charlie,house,DC,2019-03-28,2019-04-30,ZZFF,[SYNTHETIC] ZZFF Common Stock,Stock,Purchase,"$1,001 - $15,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Charlie,house,SP,2019-04-18,2019-05-28,ZZII,[SYNTHETIC] ZZII Put Options,Options,Purchase,"$1,001 - $15,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Charlie,house,SELF,2019-05-09,2019-07-04,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Purchase,"$50,001 - $100,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Charlie,house,SELF,2019-05-27,2019-06-24,ZZHH,[SYNTHETIC] ZZHH Exchange Traded Fund,ETF,Sale (Full),"$15,001 - $50,000",utilities,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Charlie,house,SELF,2019-08-21,2019-08-30,ZZDD,[SYNTHETIC] ZZDD Common Stock,Stock,Purchase,"$15,001 - $50,000",financials,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Charlie,house,DC,2019-10-23,2019-11-15,ZZAA,[SYNTHETIC] ZZAA Put Options,Options,Purchase,"$100,001 - $250,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Charlie,house,DC,2019-10-25,2019-11-25,ZZFF,[SYNTHETIC] ZZFF Exchange Traded Fund,ETF,Sale (Full),"$1,001 - $15,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
